INFO  - 2017-11-24 13:44:06.274; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-11-24 13:44:06.308; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\workFile\soft\solr\solr-4.4.0\example\contexts at interval 0
INFO  - 2017-11-24 13:44:06.321; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\workFile\soft\solr\solr-4.4.0\example\contexts\solr-jetty-context.xml
INFO  - 2017-11-24 13:44:06.374; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/workFile/soft/solr/solr-4.4.0/example/webapps/solr.war!/ to C:\workFile\soft\solr\solr-4.4.0\example\solr-webapp\webapp
INFO  - 2017-11-24 13:44:07.552; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-11-24 13:44:07.616; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-11-24 13:44:07.672; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-11-24 13:44:07.674; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-11-24 13:44:07.688; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-11-24 13:44:07.761; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\workFile\soft\solr\solr-4.4.0\example\solr\solr.xml
INFO  - 2017-11-24 13:44:08.044; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in C:\workFile\soft\solr\solr-4.4.0\example\solr
INFO  - 2017-11-24 13:44:08.048; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in C:\workFile\soft\solr\solr-4.4.0\example\solr\bin
INFO  - 2017-11-24 13:44:08.051; org.apache.solr.core.SolrCoreDiscoverer; Discovered properties file C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\core.properties, adding to cores
INFO  - 2017-11-24 13:44:08.075; org.apache.solr.core.CoreContainer; New CoreContainer 239372207
INFO  - 2017-11-24 13:44:08.077; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-11-24 13:44:08.118; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-11-24 13:44:08.121; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2017-11-24 13:44:08.124; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-11-24 13:44:08.126; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-11-24 13:44:08.128; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-11-24 13:44:08.130; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-11-24 13:44:08.133; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-11-24 13:44:08.135; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-11-24 13:44:08.138; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-11-24 13:44:08.152; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2017-11-24 13:44:09.574; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-11-24 13:44:09.594; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1
INFO  - 2017-11-24 13:44:09.598; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\'
INFO  - 2017-11-24 13:44:09.664; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2017-11-24 13:44:09.667; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-11-24 13:44:09.670; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-11-24 13:44:09.674; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2017-11-24 13:44:09.677; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-11-24 13:44:09.680; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.684; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.687; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.691; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.694; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.697; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-11-24 13:44:09.701; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.705; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.708; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-11-24 13:44:09.711; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2017-11-24 13:44:09.714; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2017-11-24 13:44:09.717; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.721; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2017-11-24 13:44:09.723; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2017-11-24 13:44:09.726; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2017-11-24 13:44:09.730; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2017-11-24 13:44:09.734; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2017-11-24 13:44:09.738; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.742; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2017-11-24 13:44:09.747; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2017-11-24 13:44:09.751; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.755; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.760; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.764; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.769; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.774; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/dist/solr-cell-4.4.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.778; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2017-11-24 13:44:09.786; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.790; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2017-11-24 13:44:09.794; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2017-11-24 13:44:09.798; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.802; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-11-24 13:44:09.807; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2017-11-24 13:44:09.812; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/dist/solr-clustering-4.4.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.815; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2017-11-24 13:44:09.820; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-11-24 13:44:09.826; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/dist/solr-langid-4.4.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.829; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.833; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-11-24 13:44:09.837; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-11-24 13:44:09.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.847; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/workFile/soft/solr/solr-4.4.0/dist/solr-velocity-4.4.0.jar' to classloader
INFO  - 2017-11-24 13:44:09.885; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-11-24 13:44:09.890; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_44
INFO  - 2017-11-24 13:44:09.989; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-11-24 13:44:09.995; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2017-11-24 13:44:10.022; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2017-11-24 13:44:10.473; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-11-24 13:44:10.622; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-11-24 13:44:10.626; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-11-24 13:44:10.709; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-11-24 13:44:10.716; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\, dataDir=C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\data\
INFO  - 2017-11-24 13:44:10.720; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-11-24 13:44:10.725; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-11-24 13:44:10.728; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-11-24 13:44:10.750; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\workFile\soft\solr\solr-4.4.0\example\solr\collection1\data
